time,avg_washers,avg_dryers
00:00:00,3.2,2
00:05:00,3.1,2
00:10:00,2.9,1.9
00:15:00,2.9,1.9
00:20:00,3.3,2.1
00:25:00,3.4,2.2
00:30:00,3.4,2.2
00:35:00,3.4,2.3
00:40:00,3.2,2.5
00:45:00,3.4,2.4
00:50:00,3.2,2.5
00:55:00,3.2,2.5
01:00:00,3.4,2.3
01:05:00,2.9,2.2
01:10:00,2.9,2.2
01:15:00,3,2.3
01:20:00,3,2.7
01:25:00,2.9,2.8
01:30:00,2.8,2.8
01:35:00,2.8,2.8
01:40:00,3.2,2.9
01:45:00,3.2,2.9
01:50:00,3.1,2.7
01:55:00,3.1,2.7
02:00:00,3.111111111111111,2.5555555555555554
02:05:00,3.2222222222222223,2.5555555555555554
02:10:00,3.2222222222222223,2.5555555555555554
02:15:00,3.2222222222222223,2.5555555555555554
02:20:00,3.111111111111111,2.4444444444444446
02:25:00,3.3333333333333335,2.4444444444444446
02:30:00,3.3333333333333335,2.6666666666666665
02:35:00,3.6666666666666665,2.6666666666666665
02:40:00,3.6666666666666665,2.7777777777777777
02:45:00,3.6666666666666665,2.7777777777777777
02:50:00,3.4444444444444446,2.5555555555555554
02:55:00,3.5555555555555554,2.5555555555555554
03:00:00,3.6666666666666665,2.6666666666666665
03:05:00,3.7,2.8
03:10:00,3.727272727272727,2.8181818181818183
03:15:00,3.7,2.7
03:20:00,3.6666666666666665,2.4444444444444446
03:25:00,3.909090909090909,2.4545454545454546
03:30:00,4,2.6
03:35:00,4,2.6
03:40:00,4,2.6
03:45:00,4,2.7
03:50:00,4,2.7
03:55:00,4,2.7
04:00:00,4,2.6666666666666665
04:05:00,4,2.8
04:10:00,4,2.8
04:15:00,4,2.8
04:20:00,4,2.8
04:25:00,4,2.9
04:30:00,4,2.9
04:35:00,4,2.9
04:40:00,4,2.9
04:45:00,4,2.9
04:50:00,4,2.9
04:55:00,4,2.9
05:00:00,4,2.9
05:05:00,4,2.9
05:10:00,4,2.888888888888889
05:15:00,4,3
05:20:00,4,3
05:25:00,4,3
05:30:00,4,3
05:35:00,4,3
05:40:00,4,3
05:45:00,4,3
05:50:00,4,3
05:55:00,4,3
06:00:00,3.9,3
06:05:00,3.7,3
06:10:00,3.5,3
06:15:00,3,3
06:20:00,3,3
06:25:00,2.6,3
06:30:00,2.4,3
06:35:00,2.5,2.9
06:40:00,2.7,2.9
06:45:00,2.7,2.9
06:50:00,2.9,2.9
06:55:00,2.9,2.9
07:00:00,3.1,2.8
07:05:00,3.3,2.8
07:10:00,3.1,2.7
07:15:00,2.5,2.7
07:20:00,2.7,2.7
07:25:00,2.4,2.7
07:30:00,2.5,2.7
07:35:00,2.6,2.7
07:40:00,2.5,2.7
